title,positive,neutral,negative,compound
MOB,0.179,0.712,0.108,0.9927
Morto mai,0.12,0.723,0.157,-0.9418
100 MESSAGGI,0.101,0.707,0.192,-0.9965
J,0.175,0.692,0.133,0.9786
SLIME,0.162,0.777,0.061,0.9932
Ouver2re,0.083,0.768,0.149,-0.9957
Catrame,0.097,0.83,0.073,0.8982
ALYX,0.194,0.746,0.06,0.9975
2 TIRI,0.046,0.847,0.107,-0.9801
Gigolò,0.152,0.778,0.07,0.9931
Lario,0.251,0.726,0.023,0.9992
Ouverture,0.129,0.732,0.139,-0.5391
Re Mida,0.064,0.86,0.076,-0.9012
Porto Cervo,0.154,0.754,0.092,0.9931
Iside,0.077,0.83,0.093,-0.8873
